Question,Answer,Correctness,Lesson,Comment
Как называется официальный (основной) магазин приложений для устройств Android?,Google App Center,0,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
С чего рекомендуется начинать пункты? (укажите части речи),Пункты должны начинаться с числительного или частицы.,0,introduction_lesson_2,
Что такое универсальные чек-листы?,Можно использовать для тестирования всех возможных ПО.,0,introduction_lesson_2,
Назовите критерии качества ПО?,Качественное ПО определяется наличием красивых кнопок и анимации при клике.,0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 4/8 критериев. 
ответ считается частично верным если упомянуто не менее 6 критериев"
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Под этим понимается, что в чек-листе указывается, какие проверки должны быть выполнены до выпуска новой версии программного обеспечения.",0,introduction_lesson_2,
Зачем нужны сервисы дистрибуции мобильных приложений?,Для удобства распространения тестовых билдов.,1,process_lection_1,
Что такое тестовые данные?,"Тестовые данные - это информация, которую тестировщики создают на ходу, не обращаясь к требованиям.",0,introduction_lesson_1,
Назовите цели тестирования.,"Цели тестирования — это те задачи, которыми вы будете заниматься практически на любом проекте: 
1) Оценка соответствия стандартам компании рабочих продуктов: требований, пользовательских историй, проектирования и кода.
2) Проверка выполнения требований. 
3) Поиск и предотвращение дефектов.",1,introduction_lesson_1,
Что такое окружение?,"Техника, которая находится у тестировщика.",0,introduction_lesson_1,
Что такое связнный чек лист?,"Связанный чек-лист - это просто список задач, который составлен хаотично, без какой-либо организации или структуры.",0,introduction_lesson_2,
Возможно ли исчерпывающее (полное тестирование)?,Скорее нет ,1,introduction_lesson_1,
Что такое нативные мобильные приложения?,"Нативные мобильные приложения - это приложения, которые создаются из натуральных ингредиентов, таких как фрукты и овощи.",0,process_lection_1,
Зачем мы используем App Store Connect?,Чтобы тестировать мобильные приложения,0,process_lection_3,
Что такое раннее тестирование?,Раннее тестирование - это когда вы начинаете тестировать программу только за неделю до её запуска.,0,introduction_lesson_1,
Что такое тестирование програмного обеспечения? Дайте полное определение.,"Это просто набор тестовых случаев, которые нужно выполнить перед тем, как выпустить программу.",0,introduction_lesson_1,
Что такое гибридные мобильные приложения?,"Гибридные приложения — это мобильные приложения, представляющие собой сочетание между нативными и веб-приложениями.",1,process_lection_1,
На основе какого документа составляют чек-листы?,"Они составляются на основе историй успеха из жизни тестировщика, чтобы вдохновиться перед началом работы.",0,introduction_lesson_2,
Возможно ли исчерпывающее (полное тестирование)?,К этому нужно стремиться,0,introduction_lesson_1,
Что такое чек-лист в тестировании?,"Это просто список событий, которые должны произойти во время тестирования, но без какой-либо организации или систематизации.",0,introduction_lesson_2,"Несмотря на то, что в лекции указаны примеры список дел и покупок, вопрос спрашивает про чек-листы в тестировании."
